id,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,ing
0,Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,"Maida flour,Curd,Oil,Sugar"
1,Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"Gram flour,Ghee,Sugar"
2,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"Carrot,Milk,Sugar,Ghee,Cashew nut,Raisins"
3,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"Flour,Ghee,Kewra,Milk,Butter,Sugar,Almonds,Pistachio,Saffron,Cardamom"
4,Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"Milk powder, plain flour, baking powder,Ghee,Milk,Sugar,Water,Rose water"
5,Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"Sugar, lentil flour"
6,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"Maida flour,Corn flour,Baking soda,Vinegar,Curd,Water,Turmeric,Saffron,Cardamom"
7,Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,Delhi,North,"Cashew nut,Ghee,Cardamom,Sugar"
8,Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"Milk,Cottage cheese,Sugar"
9,Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,Uttar Pradesh,North,"Milk,Raw Rice,Sugar,Dry fruits"
10,Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,Andhra Pradesh,South,"Gram flour,Ghee,Sugar"
11,Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,"Curd,Milk, nuts,Sugar"
12,Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,Gujarat,West,"Refined flour,Besan,Ghee,Sugar,Curd,Cardamom"
13,Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,"Firm white pumpkin,Sugar, kitchen lime, alum powder"
14,Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,"Raw Rice,Sugar, nuts"
15,Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,"Condensed milk,Sugar, spices, nuts"
16,Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Raw Wheat,Ghee, nuts,Milk"
17,Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,"Khoa,Coconut,Molu leaf"
18,Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,"Corn flour,Ghee,Dry fruits"
19,Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,31,60,sweet,dessert,Maharashtra,West,"Gram flour,Ghee,Sugar,Milk,Cardamom"
20,Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,"Bhuna chana,Sugar,Ghee"
